country,region,league_name,platform,active_url,current_season_name,current_divisions,seasons_available,current_targets_total,current_targets_scraped,current_status,history_targets_total,history_targets_scraped,history_status,overall_status,started_at,finished_at,notes
England,Avon,Bath Table Tennis League,ttleagues,https://bath.ttleagues.com,Bath & District League 2024-25,4,11,4,4,completed,16,16,completed,completed,2026-03-15T08:43:06.431Z,2026-03-15T08:43:14.703Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Avon,Bristol Table Tennis League,ttleagues,https://bristol.ttleagues.com,Senior Winter 2025-26,7,10,7,7,completed,34,34,completed,completed,2026-03-15T08:43:14.705Z,2026-03-15T08:44:39.667Z,Verified against the live TT Leagues competitions and divisions APIs via the secondary website link.
England,Bedfordshire,Bedford Table Tennis League,ttleagues,https://bedford.ttleagues.com,Winter Season 2025-26,4,6,4,4,completed,21,21,completed,completed,2026-03-15T08:44:39.672Z,2026-03-15T08:44:45.750Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Bedfordshire,Luton Table Tennis League,tt365,https://www.tabletennis365.com/luton,Luton TTL 2025-26,1,8,1,1,completed,15,15,completed,completed,2026-03-15T08:44:45.755Z,2026-03-15T08:45:30.685Z,Verified against the live TT365 tables and archive pages.
England,Berkshire,Bracknell and Wokingham Table Tennis League,tt365,https://www.tabletennis365.com/bracknellandwokingham,Season 2025-2026,3,7,3,3,completed,18,18,completed,completed,2026-03-15T08:45:30.687Z,2026-03-15T08:46:41.038Z,Verified against the live TT365 tables and archive pages.
England,Berkshire,Maidenhead Table Tennis League,ttleagues,https://maidenhead.ttleagues.com,Maidenhead Table Tennis League 2019 - 2020,3,10,3,3,completed,9,9,completed,completed,2026-03-15T08:46:41.039Z,2026-03-15T08:46:45.183Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Berkshire,Newbury Table Tennis League,ttleagues,https://newbury.ttleagues.com,Winter League 2025/26,3,19,3,3,completed,12,12,completed,completed,2026-03-15T08:46:45.184Z,2026-03-15T08:46:46.976Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Berkshire,Reading & District Table Tennis Association,tt365,https://www.tabletennis365.com/reading,Senior 2025-26,4,7,4,4,completed,24,24,completed,completed,2026-03-15T08:46:46.977Z,2026-03-15T08:50:59.737Z,Verified against the live TT365 tables and archive pages.
England,Buckinghamshire,Aylesbury Table Tennis League,ttleagues,https://aylesbury.ttleagues.com,Aylesbury Winter League 2025_2026,5,12,5,5,completed,21,21,completed,completed,2026-03-15T08:50:59.738Z,2026-03-15T08:51:38.676Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Buckinghamshire,Chalfonts Table Tennis League,ttleagues,https://chalfonts.ttleagues.com,Winter 2025-26,2,8,2,2,completed,11,11,completed,completed,2026-03-15T08:51:38.681Z,2026-03-15T08:51:46.265Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Buckinghamshire,Chiltern Table Tennis League,ttleagues,https://chiltern.ttleagues.com,Chiltern League 2023-24,2,11,2,2,completed,8,8,completed,completed,2026-03-15T08:51:46.266Z,2026-03-15T08:51:47.612Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Buckinghamshire,High Wycombe Table Tennis League,ttleagues,https://highwycombe.ttleagues.com,High Wycombe & District Table Tennis League 2021-22,4,11,4,4,completed,16,16,completed,completed,2026-03-15T08:51:47.615Z,2026-03-15T08:51:52.088Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cambridgeshire,Cambridge Table Tennis League,ttleagues,https://cambridge.ttleagues.com,Cambridge Winter League 2022/2023,4,11,4,4,completed,17,17,completed,completed,2026-03-15T08:51:52.091Z,2026-03-15T08:53:27.262Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cambridgeshire,Ely & District Table Tennis League,ttleagues,https://elydistrict.ttleagues.com,Ely & District League 2019-2020,3,11,3,3,completed,12,12,completed,completed,2026-03-15T08:53:27.264Z,2026-03-15T08:53:48.208Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cambridgeshire,Peterborough Table Tennis League,ttleagues,https://peterborough.ttleagues.com,Winter 2019-20,4,11,4,4,completed,11,11,completed,completed,2026-03-15T08:53:48.211Z,2026-03-15T08:54:40.583Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Chester and Ellesmere Port Table Tennis League,ttleagues,https://chesterandellesmereport.ttleagues.com,Chester & EP 2025-26 Season,4,7,4,4,completed,18,18,completed,completed,2026-03-15T08:54:40.587Z,2026-03-15T08:54:44.657Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Crewe Table Tennis League,ttleagues,https://crewe.ttleagues.com,2023-24 Open Prelim Rounds,8,26,8,8,completed,16,16,completed,completed,2026-03-15T08:54:44.661Z,2026-03-15T08:54:47.220Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Glossop Table Tennis League,ttleagues,https://glossop.ttleagues.com,Glossop & District TT League 2025/26,3,12,3,3,completed,15,15,completed,completed,2026-03-15T08:54:47.222Z,2026-03-15T08:55:29.888Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Halton Table Tennis League,ttleagues,https://halton.ttleagues.com,Halton Winter League 2022,2,5,2,2,completed,5,5,completed,completed,2026-03-15T08:55:29.893Z,2026-03-15T08:56:07.946Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Mid-Cheshire Table Tennis League,ttleagues,https://midcheshire.ttleagues.com,Mid-Cheshire League 2025-26,2,8,2,2,completed,11,11,completed,completed,2026-03-15T08:56:07.947Z,2026-03-15T08:56:17.003Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Trafford Table Tennis League,ttleagues,https://trafford.ttleagues.com,Winter 2025-26,3,12,3,3,completed,15,15,completed,completed,2026-03-15T08:56:17.005Z,2026-03-15T08:56:20.403Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Wilmslow Table Tennis League,ttleagues,https://wilmslow.ttleagues.com,Divisional Doubles 2025-26,3,15,3,3,completed,15,15,completed,completed,2026-03-15T08:56:20.405Z,2026-03-15T08:56:27.451Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Wirral Table Tennis League,ttleagues,https://wirral.ttleagues.com,Wirral TT League 2025-26,3,8,3,3,completed,14,14,completed,completed,2026-03-15T08:56:27.455Z,2026-03-15T08:57:06.520Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire|Lancashire,Lancashire And Cheshire Table Tennis League,ttleagues,https://lancashireandcheshire.ttleagues.com,Lancs & Cheshire Open Age 2022 - 23,3,36,3,3,completed,6,6,completed,completed,2026-03-15T08:57:06.523Z,2026-03-15T08:57:12.942Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cleveland,Cleveland Table Tennis League,ttleagues,https://cleveland.ttleagues.com,Cleveland Table Tennis League 2025,1,7,1,1,completed,3,3,completed,completed,2026-03-15T08:57:12.944Z,2026-03-15T08:57:33.181Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cleveland,Middlesbrough Table Tennis League,ttleagues,https://middlesbrough.ttleagues.com,Middlesbrough TT League 2019/20,3,10,3,3,completed,6,6,completed,completed,2026-03-15T08:57:33.185Z,2026-03-15T08:57:34.391Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cleveland,Stockton Table Tennis League,ttleagues,https://stockton.ttleagues.com,stockton winter 25 26,3,11,3,3,completed,13,13,completed,completed,2026-03-15T08:57:34.398Z,2026-03-15T08:57:37.904Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cornwall,North Cornwall Table Tennis League,tt365,https://www.tabletennis365.com/northcornwall,Winter 2024-25 Division 3,2,8,2,2,completed,16,16,completed,completed,2026-03-15T08:57:37.907Z,2026-03-15T08:58:20.018Z,Verified against the live TT365 tables and archive pages.
England,Cornwall,West Cornwall Table Tennis League,ttleagues,https://westcornwall.ttleagues.com,Winter 2025/26,4,12,4,4,completed,14,14,completed,completed,2026-03-15T08:58:20.021Z,2026-03-15T08:58:23.845Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cumbria,Barrow Table Tennis League,ttleagues,https://barrow.ttleagues.com,Barrow & District Table Tennis League,2,1,2,2,completed,0,0,not_required,completed,2026-03-15T08:58:23.847Z,2026-03-15T08:58:24.188Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Derbyshire,Chesterfield Table Tennis League,ttleagues,https://chesterfield.ttleagues.com,Chesterfield League,4,6,4,4,completed,6,6,completed,completed,2026-03-15T08:58:24.191Z,2026-03-15T08:59:06.830Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Derbyshire,Derby & District Table Tennis Association,ttleagues,https://derbydistrict.ttleagues.com,2025 / 26,4,9,4,4,completed,21,21,completed,completed,2026-03-15T08:59:06.836Z,2026-03-15T09:00:00.628Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Derbyshire,Matlock Table Tennis League,ttleagues,https://matlock.ttleagues.com,Matlock Winter League 2025-26,2,11,2,2,completed,10,10,completed,completed,2026-03-15T09:00:00.633Z,2026-03-15T09:00:03.793Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Devonshire,Exeter Table Tennis League,ttleagues,https://exeter.ttleagues.com,Exeter & District TTL Autumn 2021,4,13,4,4,completed,14,14,completed,completed,2026-03-15T09:00:03.796Z,2026-03-15T09:01:08.740Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Devonshire,South Devon and Torbay Table Tennis League,ttleagues,https://southdevonandtorbay.ttleagues.com,Winter League 2025-26,4,11,4,4,completed,20,20,completed,completed,2026-03-15T09:01:08.746Z,2026-03-15T09:01:43.435Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Dorset,Blackmore Vale Table Tennis League,ttleagues,https://blackmorevale.ttleagues.com,BVTTL 2025-26,2,3,2,2,completed,2,2,completed,completed,2026-03-15T09:01:43.439Z,2026-03-15T09:01:44.154Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Dorset,Weymouth Table Tennis League,ttleagues,https://weymouth.ttleagues.com,Weymouth & District Winter 2025/26 2nd Half,3,11,3,3,completed,15,15,completed,completed,2026-03-15T09:01:44.158Z,2026-03-15T09:01:46.919Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Durham,Darlington Table Tennis League,ttleagues,https://darlington.ttleagues.com,Darlington Table Tennis league ,2,12,2,2,completed,9,9,completed,completed,2026-03-15T09:01:46.920Z,2026-03-15T09:01:48.830Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Durham,Sunderland Table Tennis League,tt365,https://www.tabletennis365.com/Sunderland,Winter - 24-25,3,7,3,3,completed,18,13,partial,in_progress,2026-03-15T09:01:48.837Z,,Verified against the live TT365 tables and archive pages.
England,Essex,Basildon Table Tennis League,tt365,https://www.tabletennis365.com/Basildon,Winter 2025-26,2,7,0,0,not_required,0,0,not_required,pending,,,Verified against the live TT365 tables and archive pages.
England,Essex,Becontree Table Tennis League,ttleagues,https://becontree.ttleagues.com,2023/24 Junior Individual Group Stage,6,22,6,0,pending,7,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Essex,Braintree Table Tennis League,ttleagues,https://braintree.ttleagues.com,Winter 2020,4,14,3,0,pending,14,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Essex,Brentwood Table Tennis League,ttleagues,https://brentwood.ttleagues.com,Brentwood Table Tennis League,1,1,1,0,pending,0,0,not_required,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Essex,Burnham Table Tennis League,tt365,https://www.tabletennis365.com/Burnham,Winter 2025-26,3,7,3,0,pending,20,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Essex,Central Essex Summer League,tt365,https://www.tabletennis365.com/centralessex,Summer League 2025,6,7,6,0,pending,38,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Essex,Chelmsford Table Tennis League,tt365,https://www.tabletennis365.com/Chelmsford,Winter 2024-25,8,7,8,0,pending,58,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Essex,Clacton & District Table Tennis League,ttleagues,https://clactondistrict.ttleagues.com,Clacton Winter 2025/2026,3,12,3,0,pending,15,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Essex,Colchester Table Tennis League,ttleagues,https://colchester.ttleagues.com,CDTTL 2025-2026,5,11,0,0,not_required,0,0,not_required,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Essex,Harlow Table Tennis League,ttleagues,https://harlow.ttleagues.com,Winter 2019-20,3,11,2,0,pending,11,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Essex,Romford Table Tennis League,ttleagues,https://romford.ttleagues.com,Romford & District Table Tennis League 2025/26,4,13,4,0,pending,18,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Essex,Waltham Forest Table Tennis League,ttleagues,https://walthamforest.ttleagues.com,1st Division,1,1,1,0,pending,0,0,not_required,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Gloucestershire,Cheltenham Table Tennis Association,ttleagues,https://cheltenham.ttleagues.com,Cheltenham Winter League 2025-26 Round 2,4,20,4,0,pending,14,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Gloucestershire,Cirencester Table Tennis League,ttleagues,https://cirencester.ttleagues.com,Cirencester Table Tennis League,3,18,3,0,pending,13,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Gloucestershire,Gloucester Table Tennis League,ttleagues,https://gloucester.ttleagues.com,Gloucester Table Tennis League 2025/26,3,8,3,0,pending,16,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Gloucestershire,Stroud Table Tennis League,ttleagues,https://stroud.ttleagues.com,Stroud Winter League 2025-26,4,11,4,0,pending,17,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Hampshire,Andover Table Tennis League,ttleagues,https://andover.ttleagues.com,Andover Table Tennis League 2025/2026,2,9,2,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Hampshire,Gosport and Fareham Table Tennis League,ttleagues,https://gosportandfareham.ttleagues.com,Gosport and Fareham Table Tennis League 2025-26,2,10,2,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Hampshire,Portsmouth Table Tennis League,ttleagues,https://portsmouth.ttleagues.com,Winter 2025/26,4,11,4,0,pending,18,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Hampshire,South East Hampshire Table Tennis League,ttleagues,https://southeasthampshire.ttleagues.com,South East Hants Summer League 2025,4,7,4,0,pending,8,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Hampshire,Winchester Table Tennis League,ttleagues,https://winchester.ttleagues.com,Winchester League 2025/26,2,8,2,0,pending,8,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Herefordshire,Hereford Table Tennis League,ttleagues,https://hereford.ttleagues.com,Hereford League 2025-2026,2,13,2,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Hertfordshire,Barnets Table Tennis League,tt365,https://www.tabletennis365.com/barnets,Winter 2025-26,4,7,4,0,pending,26,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Hertfordshire,Hemel Hempstead Table Tennis League,tt365,https://www.tabletennis365.com/hemelhempstead,Winter 2025-26,3,7,3,0,pending,20,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Hertfordshire,North Herts Table Tennis League,tt365,https://www.tabletennis365.com/northherts,Winter 2025-6,4,7,4,0,pending,26,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Hertfordshire,"St Albans, Hatfield & Welwyn Table Tennis League",ttleagues,https://shaw.ttleagues.com,Winter 2019/20,5,11,5,0,pending,20,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Hertfordshire,Watford Table Tennis League,ttleagues,https://watford.ttleagues.com,Watford Winter league 2019-20,4,1,4,0,pending,0,0,not_required,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Isle of Wight,Isle of Wight Table Tennis League,tt365,https://www.tabletennis365.com/isleofwight,Winter League 2025-6,3,8,3,0,pending,10,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Kent,Ashford Table Tennis League,ttleagues,https://ashford.ttleagues.com,2020-2021 Winter League Part A,4,38,4,0,pending,9,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Kent,Bromley Table Tennis League,tt365,https://www.tabletennis365.com/bromley,Winter 2025-2026,3,7,3,0,pending,20,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Kent,Folkestone Table Tennis League,ttleagues,https://folkestone.ttleagues.com,Doubles 2025_26,3,7,3,0,pending,12,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Kent,Gravesend Table Tennis League,ttleagues,https://gravesend.ttleagues.com,Gravesend 202526,2,9,2,0,pending,9,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Kent,Isle of Thanet Table Tennis League,ttleagues,https://isleofthanet.ttleagues.com,Closed Tournament 2026 - Open Singles Groups,12,64,12,0,pending,6,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Kent,Maidstone Table Tennis Association,tt365,https://www.tabletennis365.com/Maidstone,Allen Cooper 25-26,4,8,4,0,pending,24,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Kent,Medway Towns Table Tennis League,ttleagues,https://medwaytowns.ttleagues.com,Charles Stampe 2025-26 Group Stage,8,4,8,0,pending,6,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Kent,North West Kent Table Tennis League,tt365,https://www.tabletennis365.com/northwestkent,Winter League 2025-2026,3,7,3,0,pending,15,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Kent,Sevenoaks Table Tennis League,ttleagues,https://sevenoaks.ttleagues.com,Sevenoaks Table Tennis League 2022-2023,7,22,7,0,pending,18,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Kent,Sittingbourne Table Tennis League,ttleagues,https://sittingbourne.ttleagues.com,SDTTA 2021/2022,4,15,4,0,pending,14,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Kent,West Kent Table Tennis Association,ttleagues,https://westkent.ttleagues.com,Winter 2025,3,12,3,0,pending,11,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lancashire,Blackpool Table Tennis League,ttleagues,https://blackpool.ttleagues.com,Winter League 2025-26,3,14,3,0,pending,12,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lancashire,Bolton Table Tennis League,ttleagues,https://bolton.ttleagues.com,Bolton League 2025/26,4,12,4,0,pending,20,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lancashire,Bury Table Tennis League,tt365,https://www.tabletennis365.com/bury,Winter League 2025-26,3,7,3,0,pending,21,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Lancashire,Lancaster and Morecambe Table Tennis League,tt365,https://www.tabletennis365.com/lancaster,Winter 2025-26,2,7,2,0,pending,12,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Lancashire,Liverpool Table Tennis League,ttleagues,https://liverpool.ttleagues.com,LIVERPOOLWINTER LEAGUE 2025-26,5,15,5,0,pending,13,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lancashire,Lytham St Annes Table Tennis League,ttleagues,https://lythamstannes.ttleagues.com,Lytham Winter League 2025-26,1,11,1,0,pending,5,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lancashire,Manchester Table Tennis League,ttleagues,https://manchester.ttleagues.com,Manchester Winter League 2025-2026,2,9,2,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lancashire,Oldham Table Tennis League,tt365,https://www.tabletennis365.com/Oldham,Winter 2025-2026,3,7,3,0,pending,22,0,pending,pending,,,Verified against the live TT365 tables and archive pages.
England,Lancashire,Preston Table Tennis League,ttleagues,https://preston.ttleagues.com,Winter League 2025-26,3,27,3,0,pending,11,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lancashire,Southport Table Tennis League,ttleagues,https://southport.ttleagues.com,WINTER 2021-22,4,10,4,0,pending,15,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
England,Lancashire,Warrington Table Tennis League,ttleagues,https://warrington.ttleagues.com,2ND HALF 2019-20,3,12,3,0,pending,10,0,pending,pending,,,Verified against the live TT Leagues competitions and divisions APIs.
